Date,Rank,Alpha,ISIN,Instrument,Primary,ICB Sub-Sector,Status,Free Float Pass,Liquidity Pass,Gross Market Capitalisation,ALSI Universe,Cumulative Market Capitalisation,ALSI Current,ALSI Change,ALSI New,Index Current,Index Change,Index New,TOPI Current,TOPI Change,TOPI New,DTOP Current,DTOP Change,DTOP New,RESI Current,RESI Change,RESI New,FINI Current,FINI Change,FINI New,INDI Current,INDI Change,INDI New,PCAP Current,PCAP Change,PCAP New,SAPY Current,SAPY Change,SAPY New,ALTI Universe,ALTI Current,ALTI Change,ALTI New,Board,Notes
2018-03-19 00:00:00.000,261,PPR,ZAE000072310,Putprop Ltd,NULL,8633,,TRUE,FALSE,"250164762,4",TRUE,"0,999850803078539",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,41,PSG,ZAE000013017,PSG Group Ltd,NULL,8777,,TRUE,TRUE,49298723052,TRUE,"0,853234217874092",ALSI,NULL,ALSI,LRGC,NULL,LRGC,"    ",,"    ","    ",RES,"    ",NULL,NULL,NULL,"    ",RES,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,19,PSV,ZAE000078705,PSV Holdings Ltd,NULL,2757,,TRUE,TRUE,"101034339,96",FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,ALTI,NULL,ALTI,ALTI,NULL
2018-03-19 00:00:00.000,223,QFH,ZAE000193686,Quantum Foods Hldgs Ltd,NULL,3573,,TRUE,TRUE,"800332765,2",TRUE,"0,998470251040219",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,NULL,RBA,ZAE000199642,RBA Holdings Ltd,NULL,3728,,TRUE,FALSE,"111346820,98",FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,"    ",NULL,NULL,ALTI,Suspended
2018-03-19 00:00:00.000,129,RBP,ZAE000149936,Royal Bafokeng Platinum Ltd,NULL,1779,,TRUE,TRUE,"6560521577,5",TRUE,"0,978319681486216",ALSI,NULL,ALSI,SMLC,NULL,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,155,RBX,ZAE000093183,Raubex Group Ltd,NULL,2357,,TRUE,TRUE,"3991230790,56",TRUE,"0,988295141258955",ALSI,NULL,ALSI,SMLC,NULL,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,78,RCL,ZAE000179438,RCL Foods Limited,NULL,3573,,TRUE,TRUE,16840189476,TRUE,"0,939227326427703",ALSI,NULL,ALSI,MIDC,NULL,MIDC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,35,RDF,ZAE000190252,Redefine Properties Ltd,NULL,8674,,TRUE,TRUE,"64975601047,5",TRUE,"0,830687504826486",ALSI,NULL,ALSI,LRGC,NULL,LRGC,TOPI,,TOPI,DTOP,,DTOP,NULL,NULL,NULL,FINI,,FINI,NULL,NULL,NULL,PCAP,,PCAP,SAPY,,SAPY,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,NULL,RDI,CA77434W2022,Rockwell Diamonds Inc,NULL,1773,Foreign,FALSE,FALSE,"21993297,6",FALSE,0,"    ",NULL,NULL,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,Suspended; Net MCAP < Index Median
